member,epoch,train_loss,val_loss
0,1,0.02141775653704449,0.011836298741400242
0,2,0.008067236872044978,0.003943926189094782
0,3,0.001806697755396642,0.0006243964307941496
0,4,0.0005366570169485554,0.0004544658586382866
0,5,0.0004504510541015339,0.00040293927304446697
0,6,0.00040163142676465216,0.00037060960312373936
0,7,0.00037098715296532544,0.00035196015960536897
0,8,0.0003549924255348742,0.0003471527888905257
0,9,0.0003467080675462192,0.0003393647202756256
0,10,0.0003403178884095892,0.00033780807279981673
0,11,0.00033601083486616885,0.0003389015619177371
0,12,0.00033323235945189716,0.0003296316717751324
0,13,0.00033008488407358525,0.00032900122459977865
0,14,0.0003285123829350427,0.0003419969289097935
0,15,0.0003276899512857199,0.00033429768518544734
0,16,0.0003243096479025014,0.00032707504578866065
0,17,0.0003240780122836845,0.00032665280741639435
0,18,0.0003214738891132314,0.0003215662727598101
0,19,0.0003186110756963629,0.0003228452114854008
0,20,0.0003178899622677515,0.00032375671435147524
0,21,0.00031596246742022534,0.0003239577927161008
0,22,0.00031612373205522695,0.0003209379792679101
0,23,0.0003135010358894727,0.00031938435859046876
0,24,0.0003130714374732364,0.00031846543424762785
0,25,0.000311801180433206,0.00032127974554896355
0,26,0.000309667178136469,0.00034124261583201587
0,27,0.0003093663115804601,0.0003144639194943011
0,28,0.000308074003180351,0.0003167645481880754
0,29,0.0003054707917315816,0.0003142796049360186
0,30,0.00030344095338929306,0.0003174927260261029
0,31,0.000304221826200201,0.00031397788552567363
0,32,0.0003002519758582046,0.0003117663145530969
0,33,0.0002991535353767513,0.00031881663016974926
0,34,0.0002972818634696995,0.00031216905335895717
0,35,0.00029568436565912434,0.0003185132227372378
0,36,0.0002941446725830988,0.00030858590616844594
0,37,0.000291421140725207,0.0003097235457971692
0,38,0.0002912547330337542,0.00030533381504938006
0,39,0.0002897374965422959,0.0003078324079979211
0,40,0.0002871528100394816,0.00030774614424444735
0,41,0.00028533006433604494,0.00032436754554510117
0,42,0.0002831069173256832,0.0003060796589124948
0,43,0.00028199327749165674,0.0003328730526845902
0,44,0.0002790563108606471,0.00030232363496907055
0,45,0.0002802248184258739,0.00030567546491511166
0,46,0.0002756725496146828,0.00029800471384078264
0,47,0.0002740940076549089,0.0003021314332727343
0,48,0.00027324595280784974,0.00029830101993866265
0,49,0.00027103337181594083,0.00030105889891274273
0,50,0.00026945804607950976,0.0002983546000905335
0,51,0.000268045100685278,0.00029865908436477184
0,52,0.0002654097499627689,0.0002966428583022207
0,53,0.00026401195176273446,0.00032089054002426565
0,54,0.0002633041373833462,0.00029367758543230593
0,55,0.0002616943455973847,0.0002942480205092579
0,56,0.0002609349413800778,0.000295078381896019
0,57,0.0002605467241955921,0.00029256296693347394
0,58,0.000258119334565924,0.000312719086650759
0,59,0.00025710005783131,0.00029333410202525556
0,60,0.0002554185543278301,0.0002997768169734627
0,61,0.0002553214417097883,0.0002941607090178877
0,62,0.00025338373433246656,0.00029975431971251965
0,63,0.00025134960463684466,0.0003021690936293453
0,64,0.0002509839608920393,0.0003057657741010189
0,65,0.0002511050024294053,0.0002953204675577581
0,66,0.00025095922080799936,0.0002964013547170907
0,67,0.0002479221253845565,0.0002946472668554634
1,1,0.01972639951137481,0.011894447728991508
1,2,0.007080526907617847,0.0026765523944050074
1,3,0.0012344667254947125,0.0005413293838500977
1,4,0.000504267796865423,0.00045296124881133437
1,5,0.0004349034078315728,0.0004051869618706405
1,6,0.00038924622820276354,0.0003749786992557347
1,7,0.00036538185244771064,0.0003619134658947587
1,8,0.0003514477699236185,0.00034803172457031906
1,9,0.0003397041223857,0.00035830371780321
1,10,0.00033387652673344645,0.0003377989341970533
1,11,0.00032736117657515464,0.0003333157510496676
1,12,0.00032181404607749926,0.0003310253086965531
1,13,0.0003167122205702105,0.0003252337337471545
1,14,0.00031173182641914876,0.0003222705563530326
1,15,0.00030999890161264275,0.00032689765794202685
1,16,0.0003079349691979587,0.00032201153226196766
1,17,0.0003044472432143434,0.0003211775911040604
1,18,0.00030280661106075123,0.00031915729050524533
1,19,0.0002997050444957697,0.00031827486236579716
1,20,0.0002973838114110684,0.0003148191317450255
1,21,0.00029447390890197344,0.00031618360662832856
1,22,0.00029342527731528715,0.00031782142468728125
1,23,0.00029410865000897537,0.0003129607066512108
1,24,0.00029017264263152525,0.00030962773598730564
1,25,0.00028753845689438837,0.00031258261878974736
1,26,0.00028752079897525687,0.0003098706074524671
1,27,0.0002862723017697809,0.00030843939748592675
1,28,0.000283201812516415,0.0003086354990955442
1,29,0.00028146540619329444,0.00031552169821225107
1,30,0.0002806571159184117,0.0003086725191678852
1,31,0.0002793371813647725,0.0003034383407793939
1,32,0.00027791159179199626,0.00030317067285068333
1,33,0.0002775396507112654,0.00030717949266545475
1,34,0.0002756506150191719,0.0003038356953766197
1,35,0.00027563243486090666,0.0003016077389474958
1,36,0.0002733687572094991,0.00030470191268250346
1,37,0.00027196179405372174,0.0003005031030625105
1,38,0.00027099904512848565,0.00029972504125908017
1,39,0.0002696027742241751,0.00030338726355694234
1,40,0.00026786178752297054,0.00030194883584044874
1,41,0.00026705703725693404,0.0002967221662402153
1,42,0.0002653923985996732,0.00029521819669753313
1,43,0.00026574565122697367,0.00029697458376176655
1,44,0.00026433681574201696,0.00029582754359580576
1,45,0.0002617300438168631,0.0002928407920990139
1,46,0.0002595603319523097,0.00029304553754627705
1,47,0.0002595249478989798,0.00029387808172032237
1,48,0.00025841016355574267,0.0002980176650453359
1,49,0.00025670197139563105,0.00032056833151727915
1,50,0.00025722884500606195,0.0002917628444265574
1,51,0.000256351101755475,0.0002937566314358264
1,52,0.00025351745266191384,0.0002912371710408479
1,53,0.000253452585225373,0.0002963610750157386
1,54,0.0002518797947128338,0.0002953119692392647
1,55,0.0002511418140579567,0.0002920422120951116
1,56,0.0002530634498430623,0.00029336093575693667
1,57,0.00025075444445031244,0.00029585283482447267
1,58,0.0002492461114932128,0.000292584125418216
1,59,0.00024852916248211705,0.00029357531457208097
1,60,0.0002476423553803384,0.00028933954308740795
1,61,0.0002473722173642643,0.0002954060328193009
1,62,0.00024694330994194994,0.00029312391416169703
1,63,0.000245160424077228,0.0002937075914815068
1,64,0.00024751341135965455,0.00029144875588826835
1,65,0.00024362042256096308,0.00029646980692632496
1,66,0.00024369693223680197,0.00029318471206352115
1,67,0.0002425798965462794,0.0003022576856892556
1,68,0.00024090778167118077,0.00028899210155941546
1,69,0.00024293855973519385,0.00028888153610751033
1,70,0.00024068323404666174,0.0002945907472167164
1,71,0.00023954294133000077,0.00029865899705328047
1,72,0.00023908714336101655,0.00028932257555425167
1,73,0.00024187201932417574,0.0002956039388664067
1,74,0.00023811992469968067,0.0002895351208280772
1,75,0.00023780391631320256,0.00029347126837819815
1,76,0.00023722671209489582,0.0002959438133984804
1,77,0.00023623114406924557,0.0002936001983471215
1,78,0.00023611900864031028,0.0002950989583041519
1,79,0.00023719199895168896,0.00030409745522774756
2,1,0.02095687366111411,0.010660427622497082
2,2,0.006054719129508292,0.0022372202947735786
2,3,0.001105360771443143,0.0005406533018685877
2,4,0.0005003790691391461,0.0004456157621461898
2,5,0.00044581425997980493,0.0004184606368653476
2,6,0.0004203131714646049,0.0004014231381006539
2,7,0.00039725922231769394,0.00037810488720424473
2,8,0.00037878239917982784,0.00036369162262417376
2,9,0.0003620001712762233,0.00034983365912921727
2,10,0.00034993170028448935,0.0003465620393399149
2,11,0.00034377871328723374,0.00033807760337367654
2,12,0.0003356256610886366,0.0003398190310690552
2,13,0.0003312892968231743,0.0003324752615299076
2,14,0.00032679132652399995,0.00033000990515574813
2,15,0.00032534865289064193,0.000329177564708516
2,16,0.0003209088828449172,0.00033544949837960303
2,17,0.0003176562305005198,0.0003249265137128532
2,18,0.0003178634477727529,0.0003322527918498963
2,19,0.00031446729400367646,0.00032193283550441265
2,20,0.00031019674533874623,0.0003208077687304467
2,21,0.0003082618937068791,0.00032121106050908566
2,22,0.00030688944026931295,0.00033424003049731255
2,23,0.0003028672034162338,0.00032419481431134045
2,24,0.00029970255113827683,0.0003205282555427402
2,25,0.0003001526871661621,0.00031670977477915585
2,26,0.00029666607099136823,0.00031312217470258474
2,27,0.00029436508756717323,0.00035391157143749297
2,28,0.00029518464184366165,0.00031172350281849504
2,29,0.0002938198508970715,0.00031138051417656243
2,30,0.00028871427421216613,0.00030953477835282683
2,31,0.00028683297713804576,0.00030922828591428697
2,32,0.00028517427163077865,0.00031179291545413435
2,33,0.0002839292898877627,0.0003105219511780888
2,34,0.0002826364370563102,0.0003196435864083469
2,35,0.0002815336917302813,0.0003224280953872949
2,36,0.00028053519145275154,0.0003100013709627092
2,37,0.0002775111628730816,0.00030966990743763745
2,38,0.00027985552883775974,0.00031132527510635555
2,39,0.00027539470899608676,0.00031047058291733265
2,40,0.00027469439126758113,0.00030644494108855724
2,41,0.00027326455161285896,0.0003062055038753897
2,42,0.0002715598254861241,0.0003235524636693299
2,43,0.0002722030449744866,0.00030336453346535563
2,44,0.0002684638627321908,0.0003075152635574341
2,45,0.00026818607567326617,0.00030281353974714875
2,46,0.00026671217840716795,0.0003058093716390431
2,47,0.0002675224657437799,0.0003094673156738281
2,48,0.0002641232432625084,0.000306421221466735
2,49,0.00026416299394676807,0.0003072742838412523
2,50,0.00026183355953199447,0.0003068786463700235
2,51,0.0002619271421701544,0.00030453596264123917
2,52,0.00025997110677417366,0.000305743858916685
2,53,0.00025833194602401584,0.0003055896668229252
2,54,0.0002584755032719975,0.00030901285936124623
2,55,0.0002571753549035984,0.0003066861245315522
3,1,0.0205941290182096,0.012053108774125576
3,2,0.007330511057335469,0.0027993328403681517
3,3,0.0012635583697680245,0.0005503846914507449
3,4,0.0004938157987435935,0.00044131471076980233
3,5,0.00044600115477590375,0.00041475315811112523
3,6,0.0004202825090830663,0.000392695190384984
3,7,0.00039549865364959396,0.0003737595397979021
3,8,0.00037560811500858375,0.00035971670877188444
3,9,0.00036030779727217225,0.00035385251976549625
3,10,0.00035124980266792354,0.00034727322054095566
3,11,0.00034492896788719074,0.00035046946140937507
3,12,0.00034004196169768906,0.00034254626370966434
3,13,0.0003350160389845432,0.0003445166803430766
3,14,0.00033215960724865674,0.00034508711542002857
3,15,0.0003303320514365893,0.0003320123942103237
3,16,0.000327436366825606,0.00033081817673519254
3,17,0.00032502626242219575,0.0003286512801423669
3,18,0.00032480133139890517,0.0003263524267822504
3,19,0.0003211387610321657,0.00032405112870037556
3,20,0.000317096207368498,0.0003211575676687062
3,21,0.0003153594729438838,0.000322806736221537
3,22,0.0003135582491307071,0.00032060235389508307
3,23,0.00031261791673454424,0.0003273999027442187
3,24,0.00030898441026780616,0.00031533927540294826
3,25,0.00030680141496230605,0.0003147830138914287
3,26,0.00030814839453712384,0.0003148196847178042
3,27,0.00030527458234724624,0.0003182602522429079
3,28,0.0003015790215038039,0.00031261317781172693
3,29,0.0002993364590737555,0.0003115669824182987
3,30,0.0002978503606713342,0.0003277287178207189
3,31,0.00029821112625197404,0.00031256937654688954
